pet_id,pet_type,breed,age_years,weight_lbs,gender,county,is_urban,owner_age,household_type,annual_income,housing_type,is_registered,registration_date,is_vaccinated,last_vet_visit,acquisition_method,is_spayed_neutered,has_microchip,annual_vet_spending
MN_D000031,Dog,Shih Tzu,0.8,51.8,Male,Ramsey,True,70,Roommates,125547,Townhouse,True,2023-05-25,True,2024-11-20,Shelter,True,True,2206.16
MN_C000032,Cat,Domestic Longhair,2.5,11.0,Female,Stearns,False,30,Couple,34053,Farmhouse,False,,True,2024-03-24,Shelter,True,False,534.15
MN_C000033,Cat,Abyssinian,1.6,13.2,Female,Scott,False,18,Couple,50022,House,True,2023-12-01,True,2024-07-09,Friend/Family,False,True,523.87
MN_C000034,Cat,Scottish Fold,0.8,10.4,Female,Anoka,True,34,Couple,30640,Apartment,True,2023-07-02,True,2024-09-30,Shelter,True,True,449.5
MN_D000035,Dog,Australian Shepherd,4.2,57.3,Female,Clay,False,34,Couple,41819,House,True,2023-03-19,True,2024-10-23,Breeder,True,False,490.48
MN_D000036,Dog,Shih Tzu,0.8,62.0,Male,Hennepin,True,32,Family with Children,59527,Townhouse,True,2023-01-28,True,2024-09-11,Shelter,True,True,1047.04
MN_C000037,Cat,Norwegian Forest Cat,6.7,6.5,Female,Faribault,False,18,Single,40182,House,True,2024-04-18,True,2024-11-14,Shelter,True,True,475.33
MN_C000038,Cat,Persian,4.0,14.6,Male,Anoka,True,50,Couple,27468,House,True,2024-03-18,True,2023-01-01,Shelter,True,True,234.43
MN_D000039,Dog,Bulldog,8.1,48.5,Male,Hennepin,True,55,Senior,44087,Apartment,True,2024-03-16,True,2024-08-16,Shelter,True,True,884.82
MN_C000040,Cat,Persian,3.7,8.6,Female,Saint Louis,False,37,Family with Children,44405,Mobile Home,True,2023-09-16,True,2024-10-19,Breeder,True,False,409.75
MN_D000041,Dog,Labrador Retriever,1.1,92.8,Male,Goodhue,False,32,Couple,48026,House,True,2023-10-23,True,2024-12-23,Shelter,True,False,789.31
MN_C000042,Cat,Siamese,8.1,10.9,Female,Blue Earth,False,73,Couple,103702,House,False,,False,2024-07-08,Shelter,True,False,1593.85
MN_D000043,Dog,Golden Retriever,3.6,49.7,Male,Dakota,True,53,Couple,107977,House,True,2024-09-14,True,2024-08-16,Friend/Family,False,True,1326.44
MN_D000044,Dog,Labrador Retriever,0.6,75.2,Male,Hennepin,True,48,Family with Children,61441,Apartment,True,2024-11-26,True,2024-08-14,Shelter,True,True,739.87
MN_D000045,Dog,Bulldog,3.6,29.5,Male,Wright,False,23,Roommates,24483,House,True,2023-12-29,True,2024-07-26,Shelter,True,True,319.42
MN_C000046,Cat,Persian,11.8,13.6,Male,Mahnomen,False,52,Family with Children,97854,Mobile Home,False,,True,2024-12-10,Friend/Family,False,True,1007.29
MN_C000047,Cat,British Shorthair,1.7,5.2,Male,Clay,False,63,Couple,26597,House,False,,True,2024-10-16,Shelter,True,True,194.28
MN_D000048,Dog,Rottweiler,1.2,64.2,Female,Hennepin,True,55,Single,35373,Townhouse,True,2024-09-21,True,2024-08-16,Breeder,True,True,660.87
MN_D000049,Dog,Cocker Spaniel,2.2,90.1,Male,Dakota,True,33,Couple,41187,House,True,2023-07-13,True,2024-09-04,Shelter,True,True,680.39
MN_D000050,Dog,German Shepherd,2.4,87.5,Female,Hennepin,True,22,Senior,51736,House,True,2024-03-18,True,2024-07-22,Shelter,True,False,1125.56
MN_D000051,Dog,German Shepherd,1.6,85.7,Male,Saint Louis,False,48,Roommates,20000,House,True,2024-11-03,True,2024-12-27,Breeder,True,False,244.24
MN_C000052,Cat,Persian,2.3,8.6,Male,Blue Earth,False,58,Couple,23258,House,True,2024-05-14,False,2024-04-03,Breeder,True,False,472.49
MN_D000053,Dog,Australian Shepherd,0.6,51.2,Male,Hennepin,True,18,Couple,80098,House,True,2023-01-29,True,2024-11-04,Breeder,False,True,894.08
MN_D000054,Dog,Chihuahua,2.6,13.4,Male,Ramsey,True,41,Single,66858,House,True,2024-03-30,True,2024-02-08,Shelter,True,True,1436.52
MN_D000055,Dog,Labrador Retriever,0.8,16.3,Male,Pine,False,50,Senior,66625,Farmhouse,True,2023-11-06,True,2024-06-18,Friend/Family,True,True,1026.9
MN_D000056,Dog,German Shepherd,7.9,80.6,Female,Ramsey,True,26,Single,64359,House,True,2023-02-11,True,2024-12-17,Breeder,True,False,931.34
MN_D000057,Dog,Poodle,0.9,43.5,Male,Hennepin,True,51,Single,111813,House,True,2023-07-19,True,2024-09-02,Breeder,False,False,2199.82
MN_D000058,Dog,Rottweiler,18.0,56.2,Male,Olmsted,False,81,Single,25696,Mobile Home,False,,False,2024-09-07,Friend/Family,False,True,563.91
MN_C000059,Cat,Birman,2.5,7.4,Male,Hennepin,True,83,Family with Children,110216,Apartment,True,2024-05-11,True,2024-06-19,Shelter,True,True,1011.28
MN_C000060,Cat,Maine Coon,9.7,12.1,Male,Dakota,True,42,Single,215598,Apartment,True,2023-12-25,True,2024-05-08,Breeder,True,True,1480.94
MN_C000061,Cat,Siamese,0.7,4.2,Female,Saint Louis,False,23,Single,58464,Mobile Home,False,,True,2023-11-06,Friend/Family,True,True,443.0
MN_D000062,Dog,Cocker Spaniel,3.4,32.2,Female,Crow Wing,False,34,Single,57083,House,True,2023-01-20,False,2024-11-27,Shelter,True,False,1306.84
MN_D000063,Dog,Beagle,4.4,3.0,Male,Goodhue,False,28,Single,50897,House,True,2023-08-14,True,2024-10-09,Shelter,True,False,900.31
MN_D000064,Dog,Great Dane,9.5,75.6,Male,Hennepin,True,57,Senior,114034,House,True,2023-09-19,True,2024-01-02,Breeder,True,True,1299.26
MN_D000065,Dog,Siberian Husky,0.9,26.4,Male,Hennepin,True,50,Senior,54109,Apartment,True,2023-03-23,True,2024-02-14,Shelter,True,True,904.71
MN_C000066,Cat,Domestic Shorthair,1.1,9.3,Male,Stevens,False,44,Family with Children,57736,House,True,2023-08-10,True,2024-03-27,Breeder,False,False,702.88
MN_D000067,Dog,Chihuahua,4.0,11.6,Male,Stearns,False,19,Roommates,121156,House,True,2023-01-29,True,2024-10-22,Shelter,True,False,1552.64
MN_D000068,Dog,Bulldog,2.7,20.4,Male,Ramsey,True,39,Family with Children,89264,House,True,2024-04-03,True,2023-07-08,Breeder,True,False,1231.25
MN_D000069,Dog,Beagle,6.2,8.1,Female,Scott,False,33,Family with Children,30921,House,False,,True,2024-01-07,Shelter,False,True,404.76
MN_C000070,Cat,Birman,3.2,8.9,Male,Sherburne,False,42,Single,82391,House,True,2023-09-30,True,2024-11-10,Shelter,True,True,1145.75
MN_C000071,Cat,Domestic Longhair,7.7,8.7,Female,Ramsey,True,18,Couple,36820,Townhouse,True,2023-01-11,True,2024-01-12,Shelter,True,True,718.1
MN_D000072,Dog,Pomeranian,1.1,15.2,Female,Hennepin,True,41,Couple,60692,House,True,2024-08-11,True,2024-10-01,Breeder,True,True,768.36
MN_C000073,Cat,British Shorthair,5.5,10.6,Male,Hennepin,True,55,Single,145555,House,True,2023-11-14,True,2024-07-14,Shelter,True,True,1944.66
MN_C000074,Cat,Birman,5.1,15.2,Male,Sherburne,False,44,Family with Children,104898,House,True,2023-05-27,False,2024-10-19,Breeder,False,False,1737.88
MN_D000075,Dog,Australian Shepherd,4.7,55.1,Male,Washington,True,18,Couple,79943,Apartment,True,2023-12-19,True,2024-11-27,Friend/Family,True,False,941.13
MN_C000076,Cat,Norwegian Forest Cat,20.3,5.3,Male,Saint Louis,False,72,Couple,93854,Farmhouse,False,,False,2024-11-01,Shelter,True,False,1842.36
MN_C000077,Cat,Bengal,6.2,11.0,Male,Hennepin,True,37,Couple,53228,House,True,2023-03-25,True,2024-11-29,Shelter,False,True,495.34
MN_C000078,Cat,American Shorthair,4.6,5.8,Male,Ramsey,True,33,Couple,20634,House,True,2023-10-03,True,2023-07-16,Shelter,True,True,267.24
MN_C000079,Cat,Scottish Fold,3.4,11.1,Female,Ramsey,True,48,Family with Children,129874,Apartment,False,,True,2024-11-14,Breeder,True,True,3114.46
MN_D000080,Dog,Labrador Retriever,3.3,63.3,Male,Hennepin,True,47,Couple,20364,House,True,2024-09-29,True,2024-05-26,Breeder,True,False,355.77
MN_D000081,Dog,Beagle,8.6,55.9,Male,Carver,False,28,Roommates,41907,House,False,,False,2024-04-12,Breeder,False,False,665.15
MN_C000082,Cat,Norwegian Forest Cat,2.8,7.7,Female,Meeker,False,46,Single,20000,Farmhouse,False,,False,2024-12-14,Shelter,True,False,317.33
MN_C000083,Cat,Maine Coon,7.9,12.2,Male,Le Sueur,False,51,Senior,21164,House,True,2023-03-06,True,2024-10-02,Shelter,True,False,193.93
MN_D000084,Dog,Border Collie,0.6,21.2,Female,Dakota,True,46,Family with Children,20000,House,True,2024-03-29,True,2024-03-04,Breeder,True,True,260.71
MN_D000085,Dog,Boxer,6.3,56.9,Male,Anoka,True,54,Couple,51380,House,True,2024-02-03,True,2023-09-17,Breeder,False,True,1200.39
MN_D000086,Dog,Shih Tzu,3.5,55.4,Female,Anoka,True,45,Family with Children,93104,House,True,2024-10-05,True,2024-08-20,Breeder,False,True,929.98
MN_D000087,Dog,Chihuahua,3.9,12.2,Male,Ramsey,True,40,Couple,35647,Apartment,True,2023-10-04,True,2024-11-15,Breeder,True,True,582.2
MN_C000088,Cat,Mixed Breed,4.2,7.4,Female,Freeborn,False,26,Senior,109581,House,True,2024-03-14,True,2024-11-28,Shelter,True,True,1025.69
MN_D000089,Dog,Boston Terrier,1.5,56.2,Male,Hennepin,True,24,Single,56284,Townhouse,True,2024-08-19,True,2024-09-17,Shelter,True,True,1952.62
MN_D000090,Dog,Bulldog,5.7,12.5,Female,Blue Earth,False,50,Couple,77651,House,True,2023-03-11,True,2024-12-19,Shelter,True,False,2078.78
MN_D000091,Dog,Beagle,4.1,23.1,Female,Anoka,True,52,Couple,83268,House,True,2023-09-21,True,2024-12-15,Friend/Family,True,True,2388.97
MN_D000092,Dog,Shih Tzu,0.5,3.0,Male,Dakota,True,34,Couple,61011,House,True,2024-02-10,True,2024-04-22,Breeder,False,True,1233.58
MN_C000093,Cat,Domestic Shorthair,1.7,6.5,Female,Hennepin,True,18,Roommates,23487,Apartment,True,2023-07-15,True,2024-11-30,Shelter,True,True,328.25
MN_D000094,Dog,Chihuahua,1.0,6.7,Female,Anoka,True,59,Couple,41389,Apartment,True,2024-02-03,True,2024-11-27,Shelter,True,False,754.32
MN_C000095,Cat,Russian Blue,3.4,12.7,Male,Blue Earth,False,18,Couple,31870,House,True,2023-01-25,True,2024-12-08,Shelter,True,True,448.31
MN_D000096,Dog,Great Dane,11.5,69.4,Male,Sherburne,False,51,Family with Children,57797,House,True,2024-05-31,True,2024-09-12,Breeder,False,True,629.41
MN_C000097,Cat,Maine Coon,1.3,7.7,Female,Swift,False,33,Single,47806,Farmhouse,True,2023-08-09,True,2024-08-19,Shelter,True,False,574.21
MN_D000098,Dog,Rottweiler,3.5,55.2,Male,Hennepin,True,40,Family with Children,57952,House,True,2024-08-13,True,2024-06-09,Breeder,True,True,879.99
MN_C000099,Cat,Siamese,7.8,10.0,Male,Scott,False,50,Couple,43896,House,True,2024-05-24,True,2024-10-22,Shelter,True,True,1024.81
MN_D000100,Dog,Siberian Husky,9.4,67.8,Female,Dakota,True,25,Single,69210,Apartment,True,2023-10-11,True,2024-06-21,Friend/Family,True,True,1053.35
MN_D000101,Dog,Cocker Spaniel,0.9,44.4,Female,Anoka,True,45,Single,66224,Apartment,True,2024-10-25,True,2024-08-26,Shelter,True,False,924.44
MN_C000102,Cat,Maine Coon,1.4,13.6,Female,Mille Lacs,False,52,Couple,44780,Farmhouse,False,,True,2023-03-01,Shelter,True,True,416.67
MN_D000103,Dog,Australian Shepherd,2.1,43.5,Female,Hennepin,True,25,Couple,126317,House,True,2024-06-06,True,2024-12-10,Shelter,True,True,2353.69
MN_D000104,Dog,Australian Shepherd,12.0,35.3,Female,Dakota,True,37,Couple,32083,House,True,2024-06-13,True,2024-11-17,Friend/Family,True,True,721.67
MN_D000105,Dog,Boxer,1.8,79.6,Female,Hennepin,True,46,Single,88315,Apartment,True,2023-03-29,True,2024-09-26,Shelter,True,True,1680.54
MN_D000106,Dog,Rottweiler,3.9,72.3,Female,Hennepin,True,57,Couple,52987,House,True,2023-01-10,True,2024-03-03,Shelter,True,True,656.87
MN_D000107,Dog,Siberian Husky,6.2,16.0,Male,Anoka,True,25,Senior,66044,Apartment,True,2023-05-12,True,2023-12-06,Shelter,True,True,386.61
MN_C000108,Cat,Ragdoll,1.3,8.8,Male,Hennepin,True,24,Couple,177983,Apartment,True,2023-02-24,True,2024-12-22,Shelter,True,True,1647.04
MN_D000109,Dog,Pomeranian,1.1,11.2,Female,Ramsey,True,54,Family with Children,61483,House,True,2023-07-02,True,2024-11-13,Shelter,True,False,1532.44
MN_C000110,Cat,Ragdoll,5.1,15.6,Female,Saint Louis,False,25,Single,67486,Mobile Home,True,2024-05-14,True,2024-10-19,Breeder,True,False,1053.16
MN_D000111,Dog,Great Dane,6.6,66.2,Female,Anoka,True,22,Single,53437,House,True,2023-09-17,True,2023-11-06,Friend/Family,False,True,1297.57
MN_D000112,Dog,Border Collie,1.1,60.3,Female,Hennepin,True,60,Single,91627,Townhouse,True,2024-09-09,True,2024-11-05,Breeder,False,True,1190.97
MN_C000113,Cat,Siamese,3.9,4.7,Male,Washington,True,26,Single,70120,Apartment,False,,True,2024-02-19,Shelter,True,False,1397.0
MN_C000114,Cat,British Shorthair,1.5,6.0,Male,Hennepin,True,78,Senior,38978,House,True,2024-10-25,True,2024-01-12,Shelter,True,True,445.26
MN_D000115,Dog,Beagle,8.0,23.1,Female,Hennepin,True,38,Family with Children,47010,House,True,2023-03-27,True,2024-03-28,Breeder,True,False,1374.67
MN_C000116,Cat,Mixed Breed,1.8,8.6,Female,Anoka,True,27,Family with Children,36145,Apartment,False,,True,2024-04-25,Shelter,True,True,497.85
MN_D000117,Dog,Siberian Husky,3.3,51.0,Male,Ramsey,True,30,Couple,55202,Apartment,True,2023-01-08,True,2024-03-23,Shelter,True,True,678.87
MN_D000118,Dog,Yorkshire Terrier,3.4,14.1,Female,Kandiyohi,False,18,Single,37318,House,False,,True,2024-12-02,Shelter,True,True,529.0
MN_C000119,Cat,Norwegian Forest Cat,2.2,10.0,Male,Rice,False,46,Family with Children,25937,Farmhouse,True,2023-09-04,True,2024-06-06,Breeder,True,False,353.93
MN_D000120,Dog,German Shepherd,1.3,79.1,Female,Dakota,True,46,Single,67553,Apartment,True,2023-05-11,True,2024-08-19,Breeder,True,True,1346.35
MN_C000121,Cat,Domestic Longhair,2.4,14.8,Male,Dakota,True,37,Couple,129776,House,True,2023-10-16,True,2024-06-12,Shelter,True,True,1816.69
MN_D000122,Dog,Labrador Retriever,7.8,62.4,Female,Benton,False,21,Roommates,32764,House,False,,True,2024-04-19,Friend/Family,True,False,364.37
MN_D000123,Dog,Cocker Spaniel,10.0,58.5,Male,Fillmore,False,70,Couple,22875,House,True,2024-10-20,False,2024-12-10,Shelter,True,False,307.62
MN_C000124,Cat,Mixed Breed,6.0,12.5,Male,Ramsey,True,49,Roommates,36849,House,True,2024-02-02,True,2024-12-08,Breeder,True,True,612.5
MN_D000125,Dog,Pomeranian,4.1,4.8,Female,Ramsey,True,25,Couple,49205,Apartment,False,,True,2024-08-17,Shelter,True,False,999.16
MN_D000126,Dog,Poodle,1.7,43.7,Male,Sherburne,False,19,Single,50373,Farmhouse,False,,True,2024-08-22,Shelter,True,False,977.14
MN_C000127,Cat,Bengal,1.3,14.3,Male,Wright,False,37,Couple,27224,House,True,2024-05-06,False,2024-07-19,Shelter,True,False,329.67
MN_D000128,Dog,Chihuahua,0.7,10.4,Male,Ramsey,True,45,Couple,29119,House,True,2024-11-19,True,2024-12-31,Breeder,True,True,454.44
MN_D000129,Dog,Chihuahua,1.5,6.5,Male,Ramsey,True,40,Couple,65442,Apartment,True,2023-07-02,True,2024-08-31,Shelter,False,True,835.61
MN_D000130,Dog,Border Collie,5.7,51.9,Male,Dakota,True,53,Family with Children,93241,Townhouse,True,2024-06-03,True,2024-12-31,Shelter,True,True,1267.84
MN_C000131,Cat,Persian,2.7,4.0,Male,Ramsey,True,31,Family with Children,93171,House,True,2023-02-10,True,2024-06-16,Shelter,True,True,1156.93
MN_D000132,Dog,Dachshund,4.3,52.6,Male,Scott,False,51,Family with Children,83758,Mobile Home,False,,True,2024-08-17,Shelter,True,True,1387.95
MN_C000133,Cat,Birman,2.4,12.6,Female,Goodhue,False,61,Couple,38049,House,True,2024-09-25,True,2024-11-15,Shelter,True,False,632.0
MN_C000134,Cat,Abyssinian,4.4,13.9,Female,Hennepin,True,18,Single,118286,Apartment,True,2024-02-25,True,2024-10-16,Breeder,True,True,3583.73
MN_C000135,Cat,Birman,7.6,7.4,Female,Ramsey,True,45,Family with Children,31734,Townhouse,True,2024-01-23,True,2023-03-29,Breeder,False,True,318.8
MN_D000136,Dog,Pomeranian,0.6,4.7,Female,Hennepin,True,36,Couple,57643,Apartment,True,2024-07-02,False,2024-10-25,Friend/Family,True,False,647.6
MN_C000137,Cat,Birman,1.2,17.9,Male,Ramsey,True,18,Family with Children,52719,Apartment,True,2024-07-16,True,2024-08-26,Shelter,True,False,914.35
MN_D000138,Dog,German Shepherd,1.2,67.2,Male,Hennepin,True,50,Roommates,68067,House,True,2023-06-14,True,2024-12-03,Friend/Family,True,False,1426.42
MN_D000139,Dog,Golden Retriever,5.6,66.7,Male,Washington,True,43,Family with Children,41900,House,True,2024-06-07,False,2023-07-14,Shelter,True,True,685.8
MN_D000140,Dog,Bulldog,1.8,57.8,Male,Ramsey,True,31,Family with Children,52649,House,False,,True,2024-09-17,Shelter,True,False,1031.29
MN_D000141,Dog,Yorkshire Terrier,8.2,11.5,Female,Wilkin,False,38,Couple,25425,House,False,,True,2024-05-07,Shelter,True,True,315.25
MN_C000142,Cat,Mixed Breed,2.1,13.4,Female,Anoka,True,34,Family with Children,121271,Townhouse,True,2023-04-23,True,2024-12-31,Breeder,True,True,1518.11
MN_D000143,Dog,Yorkshire Terrier,6.4,11.6,Female,Hennepin,True,52,Family with Children,52630,House,True,2023-09-17,True,2024-12-19,Shelter,True,False,648.15
MN_C000144,Cat,Sphynx,1.0,11.2,Male,Hennepin,True,53,Couple,81792,Apartment,True,2023-01-13,True,2024-11-19,Friend/Family,True,True,1300.32
MN_D000145,Dog,Rottweiler,3.1,84.5,Male,Ramsey,True,23,Single,48006,House,True,2023-07-02,True,2024-09-15,Shelter,True,True,507.28
MN_C000146,Cat,Scottish Fold,1.7,6.7,Female,Hennepin,True,26,Couple,71577,Apartment,True,2023-10-17,True,2024-07-06,Breeder,True,True,737.3
MN_D000147,Dog,Australian Shepherd,1.8,38.4,Female,Anoka,True,44,Couple,74773,Apartment,False,,False,2024-12-06,Shelter,True,False,1135.56
MN_C000148,Cat,Maine Coon,11.3,11.2,Male,Mille Lacs,False,40,Single,45881,Mobile Home,False,,True,2024-12-05,Shelter,True,True,466.15
MN_D000149,Dog,Bulldog,5.3,32.6,Male,Hennepin,True,37,Family with Children,20000,House,True,2024-05-10,True,2024-10-10,Shelter,True,True,317.12
MN_D000150,Dog,Golden Retriever,1.5,37.6,Female,Blue Earth,False,73,Family with Children,61004,House,True,2023-09-20,True,2024-05-05,Friend/Family,True,False,1224.51
MN_D000151,Dog,Boxer,2.3,10.1,Male,Washington,True,43,Family with Children,68062,House,True,2024-02-02,True,2024-08-31,Shelter,True,True,1030.78
MN_D000152,Dog,Bulldog,0.7,73.2,Male,Anoka,True,33,Family with Children,62486,Townhouse,True,2024-11-23,True,2024-10-06,Shelter,True,True,1590.5
MN_D000153,Dog,Rottweiler,2.2,89.8,Male,Ramsey,True,21,Roommates,76286,House,True,2024-05-18,True,2024-10-01,Shelter,True,True,2186.74
MN_D000154,Dog,Boston Terrier,0.7,62.0,Female,Anoka,True,68,Senior,76946,Apartment,True,2024-07-24,True,2024-07-10,Friend/Family,False,True,1250.36
MN_D000155,Dog,Yorkshire Terrier,4.5,12.7,Male,Stevens,False,26,Senior,40901,Farmhouse,True,2023-06-08,True,2024-12-20,Breeder,True,False,741.52
MN_D000156,Dog,Australian Shepherd,1.9,31.0,Female,Hennepin,True,60,Family with Children,53492,House,True,2024-12-14,True,2024-09-12,Shelter,True,True,768.85
MN_C000157,Cat,Domestic Shorthair,18.4,11.3,Female,Carver,False,47,Family with Children,50899,House,True,2024-11-29,False,2024-08-02,Breeder,True,False,477.73
MN_D000158,Dog,Beagle,1.3,53.5,Male,Wright,False,42,Couple,54093,House,True,2024-03-02,True,2024-11-30,Shelter,True,False,1014.28
MN_D000159,Dog,Poodle,2.4,72.3,Male,Hennepin,True,45,Couple,91444,House,True,2024-09-04,True,2024-09-30,Friend/Family,True,False,1277.54
MN_D000160,Dog,Golden Retriever,18.0,18.1,Male,Wadena,False,18,Single,42292,House,True,2024-11-15,True,2024-08-04,Shelter,True,True,553.08
MN_D000161,Dog,Mixed Breed,0.6,54.7,Male,Koochiching,False,51,Single,49098,House,False,,True,2024-09-19,Shelter,True,False,742.19
MN_D000162,Dog,Boston Terrier,9.9,38.7,Female,Ramsey,True,58,Senior,49112,Apartment,True,2024-07-06,True,2024-07-22,Breeder,True,True,277.35
MN_D000163,Dog,Labrador Retriever,2.6,53.7,Male,Beltrami,False,48,Family with Children,31829,Farmhouse,True,2024-03-08,True,2024-11-02,Shelter,True,True,732.9
MN_C000164,Cat,Russian Blue,0.8,14.1,Female,Hennepin,True,29,Single,34156,Apartment,True,2023-02-07,True,2024-06-30,Shelter,True,True,295.92
MN_C000165,Cat,Mixed Breed,8.1,8.6,Male,Blue Earth,False,24,Roommates,22165,Farmhouse,True,2023-09-29,True,2024-08-12,Shelter,True,False,231.4
MN_C000166,Cat,Bengal,3.5,11.4,Male,Nobles,False,39,Family with Children,36412,House,True,2023-03-22,True,2024-02-19,Shelter,True,False,471.0
MN_C000167,Cat,British Shorthair,9.1,9.4,Male,Olmsted,False,40,Single,23042,Mobile Home,False,,False,2024-05-12,Shelter,True,False,191.63
MN_D000168,Dog,Bulldog,2.4,43.8,Female,Hennepin,True,48,Family with Children,150763,House,True,2023-07-12,True,2024-09-04,Breeder,False,True,2407.16
MN_C000169,Cat,Abyssinian,9.5,8.6,Male,Hennepin,True,29,Single,59015,Apartment,True,2024-01-10,True,2024-02-14,Friend/Family,True,True,1062.7
MN_D000170,Dog,Boxer,1.3,58.5,Male,Washington,True,39,Family with Children,41761,House,True,2024-05-03,True,2024-10-20,Breeder,True,False,638.48
MN_C000171,Cat,Birman,1.1,12.0,Male,Carver,False,51,Single,27248,House,False,,True,2024-08-22,Breeder,False,True,245.37
